,station_name,station_id,lat,lng,_merge
166,6 Ave & 21 St,3628.11,40.660362363,-73.990797639,right_only
167,6 Ave & 21 St,3628.11,40.66016,-73.990974,left_only
168,Lincoln Rd & Ocean Ave,3633.08,40.660455465,-73.962527394,right_only
169,Lincoln Rd & Ocean Ave,3633.08,40.6605,-73.9626,left_only
170,Schenectady Ave & Maple St,3639.04,40.66178,-73.93445,both
171,Midwood St & Kingston Ave,3648.06,40.660682082,-73.942392349,right_only
172,Midwood St & Kingston Ave,3648.06,40.66067,-73.94243,left_only
173,West Drive & Prospect Park West,3651.04,40.6610633719006,-73.97945255041122,left_only
174,West Drive & Prospect Park West,3651.04,40.661157727,-73.979232192,right_only
175,Sterling St & Nostrand Ave,3657.06,40.663139343,-73.950815082,right_only
176,Sterling St & Nostrand Ave,3657.06,40.66318,-73.95076,left_only
177,7 Ave & 17 St,3660.07,40.66093779493168,-73.98680448532104,left_only
178,7 Ave & 17 St,3660.07,40.660895944,-73.986876249,right_only
179,Sterling St & Bedford Ave,3665.06,40.6627059,-73.9569115,left_only
180,Sterling St & Bedford Ave,3665.06,40.662612557,-73.956754804,right_only
181,21 St & 4 Ave,3668.04,40.662584,-73.995554,left_only
182,21 St & 4 Ave,3668.04,40.662569284,-73.995430827,right_only
183,E New York Ave & Troy Ave,3680.04,40.66227,-73.93762,both
184,Rogers Ave & Sterling St,3696.05,40.6630619,-73.9538746,left_only
185,Rogers Ave & Sterling St,3696.05,40.663230181,-73.953869939,right_only
186,17 St & 5 Ave,3699.07,40.663493,-73.991007,both
187,Washington Ave & Empire Blvd,3704.01,40.663034916,-73.960617542,right_only
188,Washington Ave & Empire Blvd,3704.01,40.66314,-73.9605695,left_only
189,Flatbush Ave & Ocean Ave,3704.04,40.663657,-73.963014,both
190,Sullivan Pl & Franklin Ave,3704.08,40.664049745,-73.960205197,right_only
191,Sullivan Pl & Franklin Ave,3704.08,40.66407983678161,-73.96025128666679,left_only
192,23 St & 3 Ave,3707.01,40.662587047,-73.998608947,right_only
193,23 St & 3 Ave,3707.01,40.662611,-73.998623,left_only
194,Prospect Park West & 8 St,3722.04,40.66514681533792,-73.97637605667114,both
195,Empire Blvd & New York Ave,3728.04,40.663980365,-73.947542548,right_only
196,Empire Blvd & New York Ave,3728.04,40.66403,-73.94769,left_only
197,14 St & 7 Ave,3731.11,40.663879514,-73.983791709,right_only
198,14 St & 7 Ave,3731.11,40.663779,-73.98396846,left_only
199,Bedford Ave & Montgomery St,3736.03,40.665889621,-73.956922174,right_only
200,Bedford Ave & Montgomery St,3736.03,40.665816,-73.956934,left_only
201,Sullivan Pl & Bedford Ave,3736.04,40.664248705,-73.95747745,right_only
202,Sullivan Pl & Bedford Ave,3736.04,40.6642406,-73.9574686,left_only
203,4 Ave & 17 St,3739.06,40.665507,-73.993037,both
204,Carroll St & Rochester Ave,3742.11,40.666062355,-73.928420782,right_only
205,Carroll St & Rochester Ave,3742.11,40.66598,-73.9284,left_only
206,Kingston Ave & Montgomery St,3759.07,40.664805532,-73.942491412,right_only
207,Kingston Ave & Montgomery St,3759.07,40.66481,-73.94269,left_only
208,10 St & 7 Ave,3762.08,40.666204453,-73.981920123,right_only
209,10 St & 7 Ave,3762.08,40.6662078,-73.98199886,left_only
210,Crown St & Rogers Ave,3768.02,40.666402936,-73.953351378,right_only
211,Crown St & Rogers Ave,3768.02,40.66639,-73.95346,left_only
212,14 St & 5 Ave,3771.06,40.666287,-73.98895053,both
213,Montgomery St & Franklin Ave,3776.05,40.666407704,-73.96070528,right_only
214,Montgomery St & Franklin Ave,3776.05,40.666439306870814,-73.9605563879013,left_only
215,3 Ave & 17 St,3779.02,40.666168,-73.995549,left_only
216,3 Ave & 17 St,3779.02,40.666119576,-73.995561957,right_only
217,Carroll St & Utica Ave,3782.03,40.66619,-73.93162,both
218,Albany Ave & Carroll St,3791.02,40.6667,-73.93972,both
219,6 Ave & 12 St,3803.05,40.6663181,-73.9854617,left_only
220,6 Ave & 12 St,3803.05,40.666569829,-73.985280991,right_only
221,6 Ave & 9 St,3803.09,40.668127,-73.98377641,both
222,16th St & 4th Ave,3811.05,40.666197,-73.992466,both
223,Buffalo Ave & E New York Ave,3814.01,40.666069746,-73.925984979,right_only
224,Buffalo Ave & E New York Ave,3814.01,40.66591,-73.92602,left_only
225,Schenectady Ave & President St,3822.08,40.66732,-73.93398,left_only
226,Schenectady Ave & President St,3822.08,40.667413235,-73.934099317,right_only
227,Kingston Ave & Carroll St,3831.03,40.66688,-73.9425,both
228,6 St & 7 Ave,3834.10,40.6686627,-73.97988067,both
229,President St & Nostrand Ave,3839.02,40.668110013,-73.950391412,right_only
230,President St & Nostrand Ave,3839.02,40.66811,-73.9505,left_only
231,10 St & 5 Ave,3842.08,40.6686273,-73.98700053,both
232,Eastern Pkwy & Ralph Ave,3845.05,40.66852,-73.92284,left_only
233,Eastern Pkwy & Ralph Ave,3845.05,40.668565154,-73.923007488,right_only
234,Carroll St & Franklin Ave,3847.04,40.6679411,-73.9588,both
235,3 Ave & 14 St,3850.03,40.668766499,-73.99320519,right_only
236,3 Ave & 14 St,3850.03,40.6685455,-73.99333264,left_only
237,Eastern Pkwy & Rochester Ave,3853.02,40.66846,-73.9282,both
238,Flatbush Ave & Eastern Pkwy,3856.03,40.668607593,-73.966272831,right_only
239,Flatbush Ave & Eastern Pkwy,3856.03,40.668757,-73.966438,left_only
240,Eastern Pkwy & Troy Ave,3862.07,40.669318557,-73.937117696,right_only
241,Eastern Pkwy & Troy Ave,3862.07,40.66929,-73.93679,left_only
242,3 St & Prospect Park West,3865.05,40.668132,-73.97363831,both
243,Eastern Pkwy & Brooklyn Ave,3871.02,40.66939,-73.94514,both
244,5 St & 6 Ave,3874.01,40.670578837,-73.982108474,right_only
245,5 St & 6 Ave,3874.01,40.6704836,-73.98208968,left_only
246,Union St & Bedford Ave,3879.04,40.669368148,-73.955253839,right_only
247,Union St & Bedford Ave,3879.04,40.6691783,-73.9554162,left_only
248,12 St & 4 Ave,3882.01,40.668609977,-73.9904778,right_only
249,12 St & 4 Ave,3882.01,40.668603,-73.9904394,left_only
250,Buffalo Ave & St Johns Pl,3885.06,40.670113921,-73.925490022,right_only
251,Buffalo Ave & St Johns Pl,3885.06,40.67015,-73.92538,left_only
252,Carroll St & Washington Ave,3887.03,40.668674,-73.961815,right_only
253,Carroll St & Washington Ave,3887.03,40.6686744,-73.9618148,left_only
254,Eastern Pkwy & Schenectady Ave,3893.03,40.66876,-73.93376,both
255,Eastern Pkwy & Kingston Ave,3902.06,40.66959,-73.94237,both
256,3 St & 7 Ave,3905.15,40.6703837,-73.97839676,both
257,Eastern Pkwy & Nostrand Ave,3911.05,40.669690371,-73.950167179,right_only
258,Eastern Pkwy & Nostrand Ave,3911.05,40.66967,-73.9503,left_only
259,7 St & 5 Ave,3914.02,40.6704922,-73.98541675,left_only
260,7 St & 5 Ave,3914.02,40.670524359,-73.985526204,right_only
261,St Johns Pl & Howard Ave,3917.03,40.66992,-73.92002,both
262,Eastern Pkwy & Franklin Ave,3919.07,40.6707767,-73.9576801,both
263,10 St & 2 Ave,3922.02,40.671907,-73.993612,both
