station_name,station_id,lat,lng,_merge
5 Ave & 3 St,3987.06,40.6728155,-73.98352355,both
Prospect Pl & Howard Ave,3991.04,40.67261,-73.91977,left_only
Sterling Pl & Bedford Ave,3993.03,40.672695,-73.954131,left_only
7 St & 3 Ave,3996.01,40.67260298150126,-73.98983001708984,both
Park Pl & Buffalo Ave,3999.06,40.67202,-73.92539,both
St Johns Pl & Washington Ave,4001.09,40.6737236,-73.9631611,left_only
Schenectady Ave & Prospect Pl,4007.01,40.67351,-73.93363,both
Plaza St East & Flatbush Ave,4010.01,40.673134,-73.969106,both
Plaza St West & Flatbush Ave,4010.13,40.6750207,-73.97111473,left_only
Grand Army Plaza & Plaza St West,4010.15,40.6729679,-73.97087984,both
Columbia St & Lorraine St,4013.08,40.6747055,-74.0075572,left_only
Pacific St & Sackman St,4014.01,40.67522,-73.9061,both
Kingston Ave & Park Pl,4016.03,40.67308,-73.94191,both
Carroll St & 6 Ave,4019.06,40.6740886,-73.9787282,left_only
St Marks Ave & Thomas S. Boyland St,4023.01,40.67313,-73.91387,left_only
Pacific St & Thomas S. Boyland St,4023.05,40.67568,-73.91396,both
Prospect Pl & Nostrand Ave,4025.02,40.67428,-73.9503,left_only
3 St & 3 Ave,4028.03,40.6750705,-73.98775226,both
4 Ave & 3 St,4028.04,40.673746,-73.985649,both
St Marks Ave & Ralph Ave,4031.05,40.67372,-73.92199,left_only
Park Pl & Franklin Ave,4033.06,40.6741806,-73.9564947,left_only
St Marks Ave & Rochester Ave,4039.04,40.67404,-73.92772,both
Underhill Ave & Lincoln Pl,4042.08,40.6740123,-73.9671457,both
Clinton St & Centre St,4045.01,40.67434,-74.00194698,both
Bergen St & Troy Ave,4048.03,40.67524,-73.93596,both
Berkeley Pl & 7 Ave,4051.01,40.675146838709786,-73.97523209452629,left_only
Wolcott St & Dwight St,4054.02,40.6753274,-74.0100698,left_only
Bergen St & Mother Gaston Blvd,4055.04,40.67374,-73.90852,both
Brooklyn Ave & Prospect Pl,4057.04,40.67412,-73.94447,left_only
Carroll St & 5 Ave,4060.09,40.6751622,-73.9814832,left_only
Bergen St & Saratoga Ave,4064.03,40.67423,-73.91656,left_only
Bedford Ave & Bergen St,4066.15,40.676368,-73.952918,left_only
Bergen St & Buffalo Ave,4072.02,40.6747,-73.92512,left_only
Classon Ave & St Marks Ave,4074.14,40.676513,-73.959431,left_only
Smith St & 9 St,4077.04,40.6746957,-73.99785768,both
Court St & Nelson St,4077.07,40.6763947,-73.99869893,both
Schenectady Ave & Pacific St,4080.01,40.67686,-73.93327,both
Columbia St & W 9 St,4086.05,40.6769993,-74.00647134,both
Henry St & W 9 St,4086.06,40.676374,-74.00325,left_only
Van Sinderen Ave & Atlantic Ave,4087.01,40.67621,-73.90351,both
Bergen St & Kingston Ave,4089.01,40.6756,-73.9415,both
Van Brunt St & Wolcott St,4095.03,40.6773429,-74.01275056,both
Van Brunt St & Van Dyke St,4095.10,40.6758329439129,-74.01472628116608,left_only
Dean St & Rockaway Ave,4096.08,40.67486,-73.91123,both
New York Ave & St Marks Ave,4098.06,40.67514,-73.94716,left_only
President St & 4 Ave,4101.17,40.676757,-73.983262,both
Pacific St & Ralph Ave,4105.01,40.67607,-73.92171,both
Franklin Ave & St Marks Ave,4107.05,40.6758324,-73.9561677,both
Dean St & Franklin Ave,4107.13,40.67759206937376,-73.955637216568,left_only
3 St & Hoyt St,4110.10,40.6777287,-73.99364123,both
Pacific St & Rochester Ave,4113.01,40.67639,-73.92748,both
Prospect Pl & Underhill Ave,4116.08,40.6769694,-73.96579,both
Clinton St & 4 Place,4119.04,40.6783563,-74.00014502,both
Fulton St & Williams Ave,4120.02,40.67709,-73.9008,left_only
Pacific St & Troy Ave,4122.03,40.67686,-73.93607,both
Verona Pl & Fulton St,4124.04,40.6803560840434,-73.9476791024208,left_only
7 Ave & Park Pl,4125.07,40.6776147,-73.97324283,both
Pioneer St & Richards St,4128.08,40.6777748,-74.0094613,both
Herkimer St & Eastern Pkwy,4129.10,40.67738,-73.90829,left_only
Brooklyn Ave & Dean St,4131.03,40.67669,-73.94437,left_only
Berkeley Pl & 6 Ave,4134.06,40.6765304,-73.97846879,both
Coffey St & Conover St,4137.10,40.677236,-74.015665,both
Coffey St & Ferris St,4137.14,40.67818387977647,-74.0170168876648,left_only
Thomas S. Boyland St & Fulton St,4138.04,40.67854,-73.91367,both
Pacific St & Nostrand Ave,4140.03,40.6776,-73.94963,both
3 Ave & Carroll St,4143.04,40.677027,-73.9865,left_only
Columbus Pl & Atlantic Ave,4146.02,40.67717,-73.92285,left_only
Pacific St & Classon Ave,4148.07,40.6791944,-73.9587903,both
Smith St & 3 St,4151.01,40.6787242,-73.99599099,both
Pacific St & Utica Ave,4154.02,40.6767,-73.93051,both
Bergen St & Vanderbilt Ave,4157.10,40.6794388,-73.9680438,both
Van Sinderen Ave & Truxton St,4161.01,40.6786,-73.90369,left_only
