station_name,count_of_starts,trip_duration,est_trip_distance_miles,count_of_end_destinations
36 St & 47 Ave,149.0,14.15950782997763,1.2495973154362416,143
36 St & Ditmars Blvd,907.0,10.67212421903712,0.72303197353914,927
36 St & Hunters Point Ave,179.0,13.45195530726257,1.0870391061452513,170
36 St & Queens Blvd,425.0,15.011490196078432,1.0501882352941176,412
37 Ave & 35 St,404.0,12.769760726072608,1.0733663366336634,416
37 Ave & 63 St,214.0,11.11347352024922,0.8514953271028037,225
37 St & 24 Ave,512.0,11.719368489583333,0.91353515625,516
38 Ave & 29 St,698.0,15.844078319006686,1.2598424068767908,707
38 St & 30 Ave,1728.0,10.231385030864196,0.8156597222222223,1730
38 St & Northern Blvd,328.0,13.65076219512195,1.275701219512195,335
39 Ave & 45 St,265.0,10.595345911949686,1.0302264150943397,267
39 Ave & 54 St,136.0,12.371691176470588,0.9850000000000001,139
39 Ave & 56 St,239.0,9.136122733612273,0.6918828451882846,242
39 Dr & 52 St,323.0,15.193808049535605,1.201486068111455,320
39 St & 47 Ave,424.0,12.407114779874215,1.1027594339622642,420
39 St & 50 Ave,342.0,14.41832358674464,1.2196491228070176,336
39 St & Queens Blvd,529.0,12.648298676748581,1.029905482041588,524
4 Ave & 17 St,587.0,13.568568994889267,1.1670698466780238,596
4 Ave & 26 St,330.0,12.836565656565657,1.205121212121212,334
4 Ave & 3 St,1636.0,11.489588427057866,1.0307762836185819,1631
4 Ave & E 12 St,6287.0,10.250389693017336,0.8561841895975822,6295
4 Ave & Shore Road Dr,350.0,25.21290476190476,1.4531714285714286,355
40 Ave & 9 St,526.0,14.771482889733841,0.9132699619771864,527
40 Ave & Crescent St,647.0,13.592426584234929,1.176630602782071,646
40 St & Queens Blvd,708.0,12.179613935969867,0.9318220338983051,662
41 Ave & 67 St,296.0,18.654673423423425,0.6489527027027027,302
41 St & 3 Ave,66.0,12.377272727272727,1.4027272727272726,64
41 St & 4 Ave,457.0,14.26652078774617,1.2158643326039387,456
42 Pl & Northern Blvd,393.0,10.098982188295166,0.8245547073791349,398
43 Ave & 40 St,740.0,12.955202702702703,1.0598783783783785,720
43 Ave & 42 St,900.0,12.285888888888888,1.111488888888889,896
43 Ave & 47 St,589.0,14.192869269949068,1.3067741935483872,424
43 St & 23 Ave,253.0,11.976086956521739,0.7366798418972332,246
43 St & 35 Ave,300.0,9.6255,0.8313333333333334,304
43 St & 37 Ave,182.0,13.412087912087912,1.2073626373626374,148
43 St & 50 Ave,557.0,15.73324356672651,1.4713824057450628,549
43 St & Broadway,826.0,12.185754640839386,0.9481840193704602,815
43 St & Skillman Ave,663.0,14.805203619909502,1.1419306184012066,671
44 Dr & Jackson Ave,2594.0,16.241917244924185,1.2269313801079413,2604
44 St & 3 Ave,102.0,15.992156862745098,1.2038235294117647,102
44 St & 48 Ave,625.0,14.14608,1.3669280000000001,554
44 St & 6 Ave,485.0,13.148213058419243,1.1484948453608248,461
44 St & Greenpoint Ave,458.0,14.812372634643378,1.3351528384279476,441
45 Ave & 21 St,1888.0,12.599691031073446,1.0366949152542373,1901
45 Rd & 11 St,965.0,15.054335060449048,1.3205906735751296,976
45 St & 4 Ave,518.0,12.63925353925354,1.320849420849421,511
46 Ave & 5 St,2656.0,12.581199799196787,0.919807981927711,2676
46 St & 25 Ave,334.0,10.577644710578843,0.8036826347305389,334
46 St & 28 Ave,592.0,12.860923423423424,0.9289527027027026,523
46 St & 30 Rd,645.0,13.8884496124031,0.53,662
46 St & 6 Ave,233.0,17.31952789699571,1.1390128755364806,235
46 St & 7 Ave,401.0,13.151828761429758,1.3078802992518703,413
46 St & Queens Blvd,858.0,11.912160062160062,1.1905128205128206,796
47 Ave & 31 St,801.0,12.988680815647106,0.9648314606741574,815
47 Ave & 48 St,265.0,15.962641509433963,1.3658867924528302,266
47 Ave & Skillman Ave,201.0,15.739303482587065,1.1880597014925374,189
47 St & 3 Ave,107.0,13.419314641744547,1.321588785046729,110
48 Ave & 37 St,302.0,13.518708609271524,1.35023178807947,293
48 Ave & 41 St,646.0,12.526289989680082,1.2137151702786377,642
48 Ave & 5 St,787.0,15.122977551884794,1.1139390088945362,818
48 St & 2 Ave,70.0,14.005,1.1052857142857144,75
48 St & 37 Ave,700.0,12.129833333333334,0.8054142857142856,702
48 St & 5 Ave,381.0,9.963429571303587,0.9831758530183726,384
48 St & 50 Ave,338.0,16.16129191321499,1.498076923076923,353
48 St & Barnett Ave,184.0,10.981159420289854,0.9600000000000001,189
48 St & Broadway,859.0,9.068839736127279,0.7384167636786961,867
48 St & Skillman Ave,498.0,12.895214190093707,1.2448393574297187,487
49 Ave & 21 St,815.0,10.973926380368098,0.9885398773006134,814
49 St & 25 Ave,205.0,12.063089430894308,1.0855121951219513,145
49 St & 31 Ave,672.0,11.460590277777778,0.719985119047619,681
5 Av & W 139 St,713.0,11.0013090229079,0.9109256661991585,720
5 Ave & 3 St,2434.0,12.47382224048206,0.9727567789646673,2436
5 Ave & 37 St,349.0,17.452865329512896,1.378137535816619,327
5 Ave & 41 St,604.0,17.31512141280353,1.304023178807947,588
5 Ave & 66 St,323.0,20.65660474716202,1.498452012383901,329
5 Ave & E 103 St,3556.0,17.684847206599176,1.3232199100112485,3588
5 Ave & E 135 St,534.0,13.419257178526841,0.9094007490636704,531
5 Ave & E 29 St,5934.0,11.8798140658353,1.0236838557465453,5957
5 Ave & E 63 St,3047.0,25.88214637348211,1.119130292090581,3041
5 Ave & E 72 St,7093.0,21.47654964988956,1.046200479345834,7132
5 Ave & E 78 St,4423.0,22.655000376818148,1.184535383224056,4441
5 Ave & E 87 St,6084.0,24.32704087223318,1.2354980276134122,6120
5 Ave & E 93 St,3600.0,21.328175925925926,1.2804222222222224,3621
5 Ave & W 126 St,1237.0,13.087213689032605,0.9684397736459176,1253
5 Ave & W 131 St,1001.0,12.592923742923743,0.9707492507492508,1008
5 St & 51 Ave,659.0,14.727465857359634,1.030318664643399,660
5 St & 6 Ave,1000.0,12.852866666666667,1.02231,1016
5 St & Market St,719.0,13.393416782568382,1.353115438108484,736
50 Ave & 65 St,187.0,12.071033868092691,0.8702139037433154,195
50 St & 30 Ave,437.0,9.601182303585048,0.6390160183066361,439
50 St & 7 Ave,229.0,17.060480349344978,1.2765065502183406,225
50 St & Barnett Ave,352.0,13.408901515151515,0.8995454545454545,361
50 St & Northern Blvd,423.0,15.180338849487786,0.852387706855792,428
51 Ave & 61 St,131.0,13.705725190839695,1.4341221374045803,122
51 St & 43 Ave,470.0,14.600851063829786,1.153872340425532,402
51 St & Hobart St,545.0,11.621865443425078,0.7647889908256881,560
51 St & Queens Blvd,146.0,12.796004566210046,1.4254109589041097,148
52 St & 1 Ave,109.0,19.259021406727825,1.0947706422018348,112
52 St & 6 Ave,176.0,10.438541666666667,0.8581818181818182,161
53 St & 2 Ave,244.0,14.983196721311476,1.4517213114754097,253
53 St & 4 Ave,659.0,11.37040971168437,1.0825644916540211,647
53 St & 5 Ave,205.0,14.918455284552845,1.1374634146341465,208
53 St & Flushing Ave,240.0,15.595972222222223,1.9027500000000002,208
53 St & Roosevelt Ave,323.0,10.86124871001032,1.089628482972136,247
54 St & 37 Ave,68.0,8.837009803921568,0.7219117647058824,68
55 Dr & Maurice Ave,143.0,23.205361305361308,1.294895104895105,142
55 St & 5 Ave,258.0,13.949354005167958,1.1804651162790698,259
55 St & 7 Ave,166.0,12.777510040160642,0.8790361445783131,153
55 St & Northern Blvd,192.0,12.60954861111111,1.22015625,194
56 Dr & 59 St,78.0,14.60042735042735,1.1638461538461538,103
56 Dr & 61 St,92.0,19.33405797101449,1.5243478260869565,83
56 St & Arnold Ave,94.0,15.372695035460993,1.678191489361702,85
57 Rd & 58 St,41.0,18.99430894308943,1.741219512195122,41
57 Rd & 59 St,35.0,20.11952380952381,1.7228571428571429,29
57 St & 1 Ave,152.0,18.75964912280702,1.2167763157894735,156
57 St & 37 Ave,79.0,16.498101265822783,1.1630379746835442,80
57 St & 4 Ave,388.0,13.83393470790378,1.117860824742268,397
57 St & 43 Ave,377.0,13.244031830238727,0.8688328912466844,380
57 St & 7 Ave,148.0,13.792567567567568,1.034054054054054,137
57 St & Grand Ave,62.0,12.633064516129032,1.645967741935484,64
57 St & Woodside Ave,246.0,10.979742547425476,0.9165447154471544,232
58 St & 2 Ave,112.0,21.985863095238095,1.3858035714285715,117
58 St & 32 Ave,230.0,11.075144927536233,0.8785217391304347,229
58 St & 56 Dr,44.0,13.469318181818181,1.330909090909091,39
58 St & Pier 4,303.0,24.964686468646864,1.0076897689768975,300
59 St & 4 Ave,450.0,14.182814814814813,0.8950222222222222,455
59 St & 5 Ave,228.0,12.749853801169591,0.7741666666666667,232
59 St & 59 Rd,38.0,19.153070175438597,1.505,47
6 Ave & 12 St,1231.0,11.840915245058218,1.0952477660438669,1238
6 Ave & 21 St,1318.0,10.55791603439555,1.1583687405159333,1312
6 Ave & 55 St,151.0,12.774172185430464,0.9286092715231788,141
6 Ave & 60 St,116.0,10.734913793103448,0.5793965517241378,118
6 Ave & 9 St,2375.0,11.066659649122807,1.03688,2389
6 Ave & Broome St,4021.0,13.992787863715494,1.1488187018154687,4093
6 Ave & Canal St,2126.0,15.99700533082471,1.2849952963311384,2164
6 Ave & W 33 St,9494.0,12.888489221262551,1.058481145986939,9499
6 Ave & W 34 St,6466.0,13.648919991751727,1.0598731828023509,6366
6 Ave & W 45 St,5094.0,13.576534485015051,1.12701806046329,5144
6 Ave & Walker St,2208.0,14.520750301932367,1.1843704710144929,2239
6 St & 7 Ave,1814.0,12.411153987504592,1.1937210584343991,1824
60 Ave & Fresh Pond Rd,64.0,11.906770833333333,0.89671875,69
60 Pl & 67 Ave,68.0,29.1,1.7177941176470588,68
60 Pl & Bleecker St,74.0,8.695495495495496,0.8532432432432433,75
60 Pl & Flushing Ave,46.0,11.782971014492754,1.2571739130434783,44
60 Pl & Linden St,233.0,18.46323319027182,1.4048497854077253,219
60 St & 37 Ave,114.0,14.745029239766083,1.0612280701754386,112
60 St & 60 Rd,118.0,13.048022598870057,1.2683898305084744,128
61 St & 39 Ave,660.0,13.846641414141413,0.8637272727272727,667
61 St & 60 Ln,63.0,21.254232804232803,1.0384126984126985,64
61 St & Laurel Hill Blvd,115.0,11.677536231884059,0.6236521739130435,115
61 St & Queens Blvd,352.0,12.583806818181818,0.8260795454545454,358
61 St & Woodside Ave,735.0,9.897256235827665,0.8786122448979592,744
62 St & 34 Ave,221.0,15.170361990950227,1.318733031674208,219
62 St & 4 Ave,166.0,13.525803212851406,0.8543373493975903,166
62 St & 43 Ave,145.0,10.180919540229885,0.8937931034482758,146
62 St & Northern Blvd,320.0,18.17484375,1.323625,314
63 St & 5 Ave,90.0,17.897222222222222,0.7074444444444444,90
63 St & 59 Dr,175.0,20.662857142857142,1.0775428571428571,172
63 St & Borden Ave,50.0,16.73,1.3734,62
64 St & 3 Ave,40.0,24.480416666666667,2.3649999999999998,45
64 St & 51 Ave,96.0,14.949305555555556,1.456875,120
64 St & 53 Dr,121.0,18.82107438016529,1.7111570247933885,99
64 St & Woodbine St,227.0,11.981057268722466,1.2199118942731277,186
65 Ln & Metropolitan Ave,242.0,21.26797520661157,1.0809504132231404,254
